id,sentiment,review
6006,0,Here I present some data from my own fieldwork and give a statistical analysis _comma_ using the same technique used by Liberman et al. .
2243,0,In those models _comma_ the relationship between given words is modeled by analogy with other words that are in some sense similar to the given ones .
4097,0,Figure  illustrates how directly the CCG operations can be encoded .
3356,0,The Explicit-Warrant strategy is based on simple relationships between different facts which we would expect to occur in any domain _comma_ i.e. the fact that some belief can be used as a WARRANT for accepting a proposal should occur in almost any task .
4701,0,It is widely acknowledged that a full account of natural language utterances cannot be given in terms of only syntactic or semantic phenomena .
3357,0,We next went on to examine the relationship between topic shift and the different types of cues and interruptions described earlier .
6947,0,If the semantic representation is to be read off syntactic structure _comma_ then the parser must provide a single syntax tree ( possibly with empty nodes ) .
3342,0,The reduction above proves NP-hardness of the parsing problem .
6179,0,Structural transfer can be incorporated to improve the efficiency of generation _comma_ but it is never necessary for correctness or even tractability .
4659,1,The aim of the proposed technique is to learn the SRs that a word is imposing _comma_ from the analysis of the examples of use of that word contained in the corpus .
6108,0,Explicit relation markers such as cue words and temporal relations must be consistent and take priority over indicators such as tense and aspect .
1981,0,Thus _comma_ if walked ' has type  _comma_ then is a -Prolog ( meta-level ) function with type _comma_ and is the object-level representation _comma_ with type tm .
4887,0,The leftmost literal in the body of a non-unit clause is always the selected literal .
7095,0,I also discussed some of the effects of resource bounds _comma_ ie. cases of ensuring that or providing evidence that certain inferences dependent on what is said are made .
6321,0,Noun phrases modified by Japanese / English pairs that are translated as denumerators we call denumerated .
5142,1,The system interprets an extended DCG formalism to produce a robust analyser that finds parses of the input made from ` islands ' of terminals ( corresponding to terminals consumed by successful grammar rules ) .
7148,1,To explore the phenomenon of control in relation to ATTENTIONAL STATE Grosz and Sidner 1986 _comma_ Grosz et al. 1986 _comma_ Sidner 1979 .
1646,0,For example _comma_ likes and Mary can be combined to get the type c   c .
479,0,Although the fourth and fifth sentences are clearly the exemplification of the first three sentences _comma_ the sixth is not .
1704,0,This has allowed us to classify CoL verbs into 10 classes on the basis of which zones the mobile is inside _comma_ at the beginning and at the end of its motion .
5104,0,This method uses the information available in the original Japanese sentence along with information about English countability at both the noun phrase and noun level that can be stored in Japanese to English transfer dictionaries .
1173,0,A dendroid distribution can be represented by a dependency forest ( i.e. a set of dependency trees ) _comma_ whose nodes represent the random variables _comma_ and whose directed arcs represent the dependencies that exist between these random variables _comma_ each labeled with a number of parameters specifying the probabilistic dependency .
7098,1,In this paper we focus on interactive discourse .
2003,0,Following the analysis given in Dalrymple et al. 1994b _comma_ the lexical entry for want takes a quantified NP as an argument .
4865,0,Abstract generation based on rhetorical structure extraction has four merits .
1858,0,This section gives a mathematical basis for a general approach to F  scaling which _comma_ it is hoped _comma_ will be applicable to any tone language .
2307,0,The input proof tree is also augmented with an ordered list of nodes _comma_ being roots of subproofs planned in this order .
4521,0,This uncovered some important constraints on the form of the phrase structure rules ( phrase structure rules ) in a grammar imposed by the compiler ( section  ) .
1751,0,Keeping track of the fact that the tokens were initially agglutinated reduces the overall ambiguity .
754,0,If the sentence finishes just after `` garu / gat-ta '' _comma_ the important points are
